City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fort mcmurray,56.7268,-111.381,-2.23,86,100,3.6,CA,1703128748
1,adamstown,-25.066,-130.1015,23.36,81,100,4.96,PN,1703128748
2,avarua,-21.2078,-159.775,25.03,78,75,3.6,CK,1703128749
3,albany,42.6001,-73.9662,1.48,79,49,3.99,US,1703128749
4,waitangi,-43.9535,-176.5597,15.33,96,4,7.33,NZ,1703128749
5,ephrata,40.1798,-76.1788,3.3,66,0,2.57,US,1703128749
6,castro de rei,42.7167,-7.5667,5.2,98,79,0.34,ES,1703128749
7,jilib,0.4883,42.7854,25.06,87,44,2.81,SO,1703128749
8,puerto natales,-51.7236,-72.4875,6.81,90,78,0.61,CL,1703128749
9,pandan,14.0453,124.1694,28.16,77,100,3.83,PH,1703128749
10,nova sintra,14.8667,-24.7167,20.38,68,13,5.94,CV,1703128575
11,saint-yrieix-la-perche,45.516,1.2057,7.27,99,100,1.68,FR,1703128750
12,ujae,8.9322,165.7642,27.33,79,100,9.74,MH,1703128750
13,port-aux-francais,-49.35,70.2167,6.94,93,97,12.32,TF,1703128750
14,kenai,60.5544,-151.2583,-5.95,100,100,4.63,US,1703128750
15,monson,42.1043,-72.319,1.75,71,25,3.01,US,1703128750
16,hamilton,39.1834,-84.5333,4.76,65,0,2.57,US,1703128266
17,badger,64.8,-147.5333,-13.86,80,75,0.0,US,1703128751
18,ilulissat,69.2167,-51.1,-12.99,40,100,6.17,GL,1703128751
19,antsiranana,-12.2787,49.2917,25.66,84,63,0.86,MG,1703128751
20,bredasdorp,-34.5322,20.0403,14.58,83,0,0.69,ZA,1703128751
21,constantia,44.1833,28.65,5.39,72,100,5.56,RO,1703128751
22,basotu,-4.3667,35.0833,17.12,85,47,1.71,TZ,1703128751
23,ushuaia,-54.8,-68.3,5.81,81,40,13.38,AR,1703128751
24,bethel,41.3712,-73.414,3.2,73,0,3.09,US,1703128751
25,blackmans bay,-43.0167,147.3167,17.51,62,100,2.61,AU,1703128752
26,chos malal,-37.3781,-70.2709,17.99,27,0,0.99,AR,1703128752
27,clearfield,41.1253,-78.75,1.75,60,100,0.0,US,1703128752
28,iqaluit,63.7506,-68.5145,-26.84,62,0,8.23,CA,1703128752
